filename,0.001bar,0.002bar,0.005bar,0.01bar,0.02bar,0.05bar,0.1bar,0.2bar,0.5bar,1bar,LCD,Density_g_cm3,SA_m2_g,AV_cm3_g,Henry
IFUNUU_clean,0.000589454,0.001381943,0.003196152,0.006660834,0.012758411,0.032177657,0.064853074,0.131867481,0.300949179,0.541767467,5.50748,1.368444941,1131.79,0.418432,6.54612E-06
IGAHED01_clean,0.000345349,0.000583131,0.001664471,0.003408202,0.007201383,0.017041009,0.033640423,0.067094018,0.163253995,0.315904066,4.38198,1.5200231,514.328,0.318153,3.45264E-06
IGINIX_clean,0.000399925,0.000854077,0.002087744,0.004087368,0.008683115,0.021412929,0.042209024,0.082926802,0.20594777,0.389248946,5.75448,1.273468988,1373.16,0.445064,4.24339E-06
IGITOJ_clean,5.48406E-05,0.000137102,0.000342754,0.000606675,0.001124233,0.002927119,0.005542331,0.011214909,0.027327772,0.053401064,9.86619,2.03715908,748.321,0.308175,5.57952E-07
IGUTEK_clean,0.003897241,0.008058506,0.019859282,0.040700048,0.078932035,0.196296946,0.367873104,0.666502747,1.271883676,1.864132225,6.65766,1.498835813,874.081,0.363079,4.06846E-05
IHAZOH_clean,0.000316716,0.000774453,0.001824009,0.003578664,0.00691459,0.017084192,0.034568326,0.067338072,0.162366869,0.301516343,7.81797,1.266407906,885.526,0.412032,3.48947E-06
IHIMAP01_clean,9.54588E-05,0.000226087,0.00047227,0.001080192,0.00197449,0.005732552,0.011244041,0.021985668,0.054446682,0.105492016,5.07944,1.907671216,486.36,0.236204,1.13318E-06
IJASES01_clean,0.00195398,0.004086406,0.011353607,0.022756286,0.040721305,0.111916673,0.208473633,0.389836905,0.764501465,1.196540774,4.87181,1.632828671,441.263,0.30732,2.04725E-05
IJASIW_clean,0.000481963,0.000865661,0.00211502,0.004075624,0.00851623,0.021594726,0.04245949,0.082972412,0.188068305,0.347625957,4.37434,1.591464286,277.9891,0.27371,4.29634E-06
IJEVIE_clean,0.000457189,0.000919603,0.002413957,0.005110065,0.009655829,0.024186596,0.048723269,0.093525163,0.231068469,0.423691274,6.39858,1.474847191,891.566991,0.389739,4.89389E-06
IJIGOX_clean,0.000488428,0.000820975,0.00202126,0.004271146,0.008750134,0.021672689,0.042352934,0.084856554,0.19736644,0.367614739,6.16574,2.015645374,702.835,0.261256,4.27048E-06
IJUTEM_clean,0.003425161,0.007110838,0.018001312,0.035562733,0.070484851,0.165616337,0.310634731,0.546048324,1.026685476,1.576457914,7.42822,1.449590788,957.038,0.38728,3.59023E-05
IKAYAU_clean,0.000147692,0.000298986,0.000776284,0.001511142,0.003002471,0.007449443,0.015001549,0.029259235,0.071868391,0.134678936,4.59122,1.618672615,201.081,0.246128,1.54076E-06
IKEBUV_clean,0.00026001,0.000612282,0.001400701,0.002834951,0.005351179,0.01366312,0.028794041,0.054325372,0.136387969,0.266258906,4.87862,1.296905641,1477.73,0.47621,2.70598E-06
IKETAU_clean,0.000388049,0.000923086,0.002057834,0.004568391,0.008983915,0.022112894,0.041803424,0.084982658,0.203014127,0.394210408,5.60593,1.550776271,1115.83,0.362788,4.33528E-06
IKETEY_clean,0.000387229,0.000942064,0.002410067,0.004334652,0.009177904,0.022730916,0.045519627,0.088409565,0.218726548,0.431673559,5.5138,1.615731917,1037.67,0.34424,4.42656E-06
IKETIB_clean,0.000281802,0.00061579,0.001294203,0.002797148,0.005364679,0.013140334,0.027731427,0.052707454,0.130077821,0.256179099,13.18345,0.873765462,2494.44,0.826309,2.73085E-06
IKETUN_clean,0.000271365,0.000521856,0.001398574,0.002849334,0.004895009,0.013891806,0.026729463,0.053594609,0.135244195,0.261418533,13.22557,0.869316839,2510.09,0.832608,2.78318E-06
IKEZED_clean,0.000141056,0.000225194,0.000566697,0.001192787,0.002479611,0.005936712,0.011368593,0.023068791,0.058726184,0.109964043,3.77546,2.111490002,78.2831,0.159595,1.14826E-06
IKOPEF_clean,0.000345109,0.000541348,0.001854116,0.003714999,0.007768339,0.018757698,0.036764275,0.074191701,0.178225194,0.335520533,7.2534,1.243853395,1291.31,0.460344,3.74706E-06
IKUBUL01_clean,0.000314834,0.000561049,0.001485368,0.002676085,0.005860747,0.014659939,0.028351159,0.057545911,0.137876887,0.268108971,4.97225,1.706075545,734.185,0.340527,2.89598E-06
IKUBUL_clean,0.000266398,0.000597376,0.001299697,0.003023209,0.005747729,0.014631685,0.028201815,0.05669021,0.139047422,0.269949536,5.00176,1.6713646,797.421,0.345685,2.88878E-06
ILENOC_clean,0.000688178,0.001497514,0.003726823,0.007032015,0.01401072,0.034081768,0.068112649,0.128858887,0.304731955,0.518006522,4.95574,2.305583281,353.419,0.215043,6.99916E-06
ILIGAL_clean,0.000260973,0.00044324,0.001375287,0.002717434,0.004912922,0.013446329,0.026354142,0.050645353,0.122180983,0.230766509,5.39984,1.843100102,434.983,0.230047,2.59740E-06
